risk_id,customer_id,financial_risk,operational_risk,customer_risk,overall_risk,risk_category,confidence_score
RSK002240,CUS-002240,0.3885,0.3222,0.0757,0.2188,Low,0.9515
RSK002241,CUS-002241,0.5636,0.2267,0.4449,0.4369,Medium,0.9057
RSK002242,CUS-002242,0.3179,0.4971,0.6657,0.5276,Medium,0.7918
RSK002243,CUS-002243,0.2968,0.1905,0.0764,0.1653,Low,0.9466
RSK002244,CUS-002244,0.2576,0.4845,0.5207,0.4345,Medium,0.771
RSK002245,CUS-002245,0.8207,0.1996,0.6908,0.6315,Medium,0.9508
RSK002246,CUS-002246,0.7563,0.4086,0.517,0.5671,Medium,0.7855
RSK002247,CUS-002247,0.7168,0.4859,0.6692,0.6468,Medium,0.7751
RSK002248,CUS-002248,0.6437,0.1334,0.091,0.2653,Low,0.8697
RSK002249,CUS-002249,0.3318,0.2594,0.6698,0.4863,Medium,0.9438
RSK002250,CUS-002250,0.538,0.436,0.3971,0.4471,Medium,0.8256
RSK002251,CUS-002251,0.8636,0.1288,0.6703,0.62,Medium,0.8184
RSK002252,CUS-002252,0.376,0.4762,0.1973,0.3067,Low,0.7089
RSK002253,CUS-002253,0.3216,0.1859,0.2669,0.2671,Low,0.9653
RSK002254,CUS-002254,0.2698,0.3485,0.1115,0.2064,Low,0.8216
RSK002255,CUS-002255,0.4362,0.4527,0.487,0.4649,Medium,0.8916
RSK002256,CUS-002256,0.5162,0.19,0.7516,0.5687,Medium,0.784
RSK002257,CUS-002257,0.8745,0.4419,0.3745,0.538,Medium,0.7597
RSK002258,CUS-002258,0.2038,0.1799,0.0825,0.1384,Low,0.8732
RSK002259,CUS-002259,0.2942,0.235,0.6173,0.4439,Medium,0.9733
RSK002260,CUS-002260,0.5578,0.3834,0.0392,0.2636,Low,0.9238
RSK002261,CUS-002261,0.3482,0.2374,0.1252,0.2145,Low,0.8071
RSK002262,CUS-002262,0.6981,0.1018,0.582,0.5208,Medium,0.786
RSK002263,CUS-002263,0.157,0.4314,0.2251,0.2459,Low,0.8313
RSK002264,CUS-002264,0.8147,0.1193,0.1802,0.3584,Low,0.754
RSK002265,CUS-002265,0.4884,0.4196,0.4903,0.4756,Medium,0.9758
RSK002266,CUS-002266,0.6092,0.1923,0.0798,0.2611,Low,0.8169
RSK002267,CUS-002267,0.5262,0.4491,0.01,0.2527,Low,0.7354
RSK002268,CUS-002268,0.8089,0.2415,0.01,0.296,Low,0.7385
RSK002269,CUS-002269,0.7966,0.3564,0.7143,0.6674,Medium,0.9693
RSK002270,CUS-002270,0.6355,0.2219,0.0278,0.2489,Low,0.8318
RSK002271,CUS-002271,0.6061,0.1874,0.6812,0.5599,Medium,0.8878
RSK002272,CUS-002272,0.7286,0.3565,0.01,0.2949,Low,0.7135
RSK002273,CUS-002273,0.3127,0.1374,0.1128,0.1777,Low,0.855
RSK002274,CUS-002274,0.235,0.4352,0.3709,0.343,Low,0.9541
RSK002275,CUS-002275,0.1769,0.4474,0.3164,0.3008,Low,0.7279
RSK002276,CUS-002276,0.685,0.283,0.7833,0.6538,Medium,0.7149
RSK002277,CUS-002277,0.6452,0.1845,0.2764,0.3687,Low,0.9308
RSK002278,CUS-002278,0.5367,0.2147,0.4239,0.4159,Medium,0.7725
RSK002279,CUS-002279,0.4881,0.3971,0.7755,0.6136,Medium,0.7193
RSK002280,CUS-002280,0.3934,0.1193,0.0136,0.1487,Low,0.8894
RSK002281,CUS-002281,0.3695,0.2029,0.3186,0.3107,Low,0.9106
RSK002282,CUS-002282,0.2643,0.3821,0.322,0.3167,Low,0.7194
RSK002283,CUS-002283,0.6225,0.3406,0.3396,0.4247,Medium,0.7142
RSK002284,CUS-002284,0.2984,0.1155,0.5233,0.3743,Low,0.7925
RSK002285,CUS-002285,0.3587,0.4767,0.1379,0.2719,Low,0.7121
RSK002286,CUS-002286,0.8556,0.2574,0.1828,0.3996,Low,0.9053
RSK002287,CUS-002287,0.3756,0.3096,0.8298,0.5895,Medium,0.7402
RSK002288,CUS-002288,0.1432,0.1621,0.0781,0.1144,Low,0.816
RSK002289,CUS-002289,0.898,0.3635,0.5875,0.6359,Medium,0.9674
RSK002290,CUS-002290,0.4678,0.2313,0.4934,0.4333,Medium,0.8506
RSK002291,CUS-002291,0.4969,0.4244,0.5543,0.5111,Medium,0.8934
RSK002292,CUS-002292,0.3735,0.1428,0.4111,0.3462,Low,0.9208
RSK002293,CUS-002293,0.8405,0.1929,0.01,0.2957,Low,0.8537
RSK002294,CUS-002294,0.1423,0.2461,0.448,0.3159,Low,0.7137
RSK002295,CUS-002295,0.1015,0.1613,0.6451,0.3853,Low,0.8674
RSK002296,CUS-002296,0.1647,0.3918,0.0831,0.1693,Low,0.7024
RSK002297,CUS-002297,0.2826,0.148,0.1389,0.1838,Low,0.7717
RSK002298,CUS-002298,0.8953,0.2308,0.088,0.3588,Low,0.9674
RSK002299,CUS-002299,0.5523,0.1202,0.5856,0.4825,Medium,0.9323
RSK002300,CUS-002300,0.2397,0.3569,0.4881,0.3873,Low,0.8723
RSK002301,CUS-002301,0.8465,0.4845,0.155,0.4284,Medium,0.9518
RSK002302,CUS-002302,0.1464,0.4789,0.3264,0.3029,Low,0.976
RSK002303,CUS-002303,0.804,0.1323,0.7564,0.6459,Medium,0.757
RSK002304,CUS-002304,0.8297,0.1569,0.0865,0.3235,Low,0.7613
RSK002305,CUS-002305,0.3388,0.4535,0.316,0.3503,Low,0.9614
RSK002306,CUS-002306,0.2193,0.2938,0.4978,0.3735,Low,0.7385
RSK002307,CUS-002307,0.8073,0.2185,0.4137,0.4927,Medium,0.8626
RSK002308,CUS-002308,0.8633,0.3409,0.2244,0.4394,Medium,0.9615
RSK002309,CUS-002309,0.5346,0.4958,0.6161,0.5676,Medium,0.7593
RSK002310,CUS-002310,0.279,0.3557,0.7095,0.5096,Medium,0.982
RSK002311,CUS-002311,0.2367,0.3243,0.01,0.1409,Low,0.8702
RSK002312,CUS-002312,0.5808,0.1447,0.3185,0.3624,Low,0.9291
RSK002313,CUS-002313,0.7157,0.3193,0.6404,0.5988,Medium,0.9026
RSK002314,CUS-002314,0.3648,0.3433,0.396,0.3761,Low,0.7655
RSK002315,CUS-002315,0.4634,0.4503,0.3086,0.3834,Low,0.9479
RSK002316,CUS-002316,0.3438,0.2925,0.1298,0.2265,Low,0.906
RSK002317,CUS-002317,0.5385,0.1384,0.6793,0.5289,Medium,0.8616
RSK002318,CUS-002318,0.8117,0.296,0.6494,0.6274,Medium,0.8576
RSK002319,CUS-002319,0.2351,0.3983,0.5846,0.4425,Medium,0.9388
RSK002320,CUS-002320,0.5462,0.4235,0.0366,0.2669,Low,0.7372
RSK002321,CUS-002321,0.7374,0.2795,0.7838,0.669,Medium,0.7318
RSK002322,CUS-002322,0.5148,0.276,0.3661,0.3927,Low,0.8649
RSK002323,CUS-002323,0.6192,0.1796,0.2733,0.3583,Low,0.8152
RSK002324,CUS-002324,0.8763,0.3567,0.7334,0.7009,High,0.7448
RSK002325,CUS-002325,0.2459,0.2951,0.4981,0.3818,Low,0.8
RSK002326,CUS-002326,0.6249,0.3232,0.5661,0.5352,Medium,0.9444
RSK002327,CUS-002327,0.5623,0.2065,0.723,0.5715,Medium,0.7793
RSK002328,CUS-002328,0.166,0.4368,0.4797,0.377,Low,0.7352
RSK002329,CUS-002329,0.5098,0.455,0.3898,0.4388,Medium,0.9868
RSK002330,CUS-002330,0.7541,0.2306,0.7624,0.6535,Medium,0.8882
RSK002331,CUS-002331,0.189,0.4372,0.0355,0.1619,Low,0.9803
RSK002332,CUS-002332,0.8587,0.4874,0.2138,0.462,Medium,0.9712
RSK002333,CUS-002333,0.6233,0.1719,0.5285,0.4856,Medium,0.8553
RSK002334,CUS-002334,0.7901,0.1619,0.281,0.4099,Medium,0.8415
RSK002335,CUS-002335,0.1015,0.3955,0.4971,0.3581,Low,0.8794
RSK002336,CUS-002336,0.6261,0.4891,0.0541,0.3127,Low,0.9157
RSK002337,CUS-002337,0.7572,0.2339,0.6796,0.6137,Medium,0.9047
RSK002338,CUS-002338,0.4759,0.3951,0.3389,0.3912,Low,0.7141
RSK002339,CUS-002339,0.7725,0.436,0.3673,0.5026,Medium,0.7685
RSK002340,CUS-002340,0.6906,0.3631,0.5859,0.5727,Medium,0.989
RSK002341,CUS-002341,0.3616,0.3387,0.0885,0.2205,Low,0.9371
RSK002342,CUS-002342,0.1153,0.4703,0.4673,0.3623,Low,0.9244
RSK002343,CUS-002343,0.1823,0.4265,0.4615,0.3707,Low,0.9229
RSK002344,CUS-002344,0.3099,0.2836,0.2161,0.2577,Low,0.7771
RSK002345,CUS-002345,0.3797,0.3609,0.398,0.3851,Low,0.9588
RSK002346,CUS-002346,0.2078,0.3163,0.5304,0.3908,Low,0.9673
RSK002347,CUS-002347,0.206,0.3132,0.7312,0.49,Medium,0.8971
RSK002348,CUS-002348,0.7957,0.2825,0.6678,0.6291,Medium,0.8343
RSK002349,CUS-002349,0.8176,0.4897,0.01,0.3482,Low,0.7701
RSK002350,CUS-002350,0.7929,0.2216,0.3956,0.48,Medium,0.9314
RSK002351,CUS-002351,0.8273,0.3833,0.0913,0.3705,Low,0.9621
RSK002352,CUS-002352,0.6855,0.2757,0.7106,0.6161,Medium,0.7231
RSK002353,CUS-002353,0.4059,0.2575,0.2124,0.2795,Low,0.9897
RSK002354,CUS-002354,0.1425,0.3119,0.6242,0.4172,Medium,0.8556
RSK002355,CUS-002355,0.7095,0.4044,0.359,0.4732,Medium,0.8254
RSK002356,CUS-002356,0.1536,0.4561,0.2163,0.2455,Low,0.9581
RSK002357,CUS-002357,0.7064,0.2603,0.6245,0.5762,Medium,0.7961
RSK002358,CUS-002358,0.403,0.3568,0.0624,0.2235,Low,0.8657
RSK002359,CUS-002359,0.5301,0.3619,0.4093,0.4361,Medium,0.9632
RSK002360,CUS-002360,0.8423,0.4434,0.0472,0.365,Low,0.7856
RSK002361,CUS-002361,0.3639,0.356,0.01,0.1854,Low,0.8528
RSK002362,CUS-002362,0.2558,0.4928,0.425,0.3878,Low,0.8269
RSK002363,CUS-002363,0.5814,0.2801,0.0167,0.2388,Low,0.896
RSK002364,CUS-002364,0.1547,0.3392,0.6332,0.4309,Medium,0.9792
RSK002365,CUS-002365,0.7201,0.1852,0.7952,0.6507,Medium,0.7792
RSK002366,CUS-002366,0.1881,0.2481,0.5982,0.4051,Medium,0.807
RSK002367,CUS-002367,0.7374,0.3268,0.2144,0.3938,Low,0.7945
RSK002368,CUS-002368,0.5655,0.4752,0.4348,0.4821,Medium,0.7825
RSK002369,CUS-002369,0.7758,0.2013,0.4639,0.505,Medium,0.7813
RSK002370,CUS-002370,0.5844,0.4442,0.01,0.2692,Low,0.9673
RSK002371,CUS-002371,0.3058,0.3272,0.7638,0.5391,Medium,0.8835
RSK002372,CUS-002372,0.5412,0.2657,0.01,0.2205,Low,0.7428
RSK002373,CUS-002373,0.741,0.3183,0.5067,0.5393,Medium,0.7859
RSK002374,CUS-002374,0.2481,0.444,0.3525,0.3395,Low,0.974
RSK002375,CUS-002375,0.4626,0.2556,0.789,0.5844,Medium,0.8999
RSK002376,CUS-002376,0.2712,0.174,0.4911,0.3617,Low,0.7099
RSK002377,CUS-002377,0.6887,0.2303,0.5379,0.5216,Medium,0.7564
RSK002378,CUS-002378,0.2638,0.4517,0.6937,0.5163,Medium,0.8297
RSK002379,CUS-002379,0.2421,0.3196,0.0341,0.1536,Low,0.8704
RSK002380,CUS-002380,0.1389,0.3507,0.2739,0.2488,Low,0.9706
RSK002381,CUS-002381,0.1159,0.1424,0.0533,0.0899,Low,0.9419
RSK002382,CUS-002382,0.551,0.4455,0.2254,0.3671,Low,0.9392
RSK002383,CUS-002383,0.2006,0.3557,0.3852,0.3239,Low,0.9765
RSK002384,CUS-002384,0.3566,0.4268,0.7192,0.5519,Medium,0.9022
RSK002385,CUS-002385,0.4282,0.1044,0.1014,0.2,Low,0.9299
RSK002386,CUS-002386,0.1841,0.4564,0.5074,0.4002,Medium,0.8263
RSK002387,CUS-002387,0.1972,0.3317,0.1057,0.1784,Low,0.9639
RSK002388,CUS-002388,0.8641,0.2074,0.1436,0.3725,Low,0.8088
RSK002389,CUS-002389,0.5123,0.3915,0.1468,0.3054,Low,0.8868
RSK002390,CUS-002390,0.5582,0.3231,0.7016,0.5829,Medium,0.9396
RSK002391,CUS-002391,0.7087,0.3891,0.7032,0.642,Medium,0.8467
RSK002392,CUS-002392,0.687,0.2992,0.4625,0.4972,Medium,0.7981
RSK002393,CUS-002393,0.1492,0.4889,0.367,0.326,Low,0.728
RSK002394,CUS-002394,0.2106,0.4662,0.4027,0.3578,Low,0.8367
RSK002395,CUS-002395,0.6307,0.4851,0.7278,0.6501,Medium,0.828
RSK002396,CUS-002396,0.6865,0.3469,0.4978,0.5242,Medium,0.9821
RSK002397,CUS-002397,0.8933,0.2714,0.3169,0.4807,Medium,0.7436
RSK002398,CUS-002398,0.5071,0.149,0.607,0.4854,Medium,0.7875
RSK002399,CUS-002399,0.3833,0.1465,0.4546,0.3716,Low,0.8246
RSK002400,CUS-002400,0.1644,0.4463,0.7072,0.4922,Medium,0.8684
RSK002401,CUS-002401,0.4009,0.151,0.443,0.372,Low,0.9221
RSK002402,CUS-002402,0.6366,0.2641,0.1477,0.3176,Low,0.8387
RSK002403,CUS-002403,0.3997,0.4667,0.339,0.3828,Low,0.794
RSK002404,CUS-002404,0.8506,0.3783,0.4676,0.5646,Medium,0.7941
RSK002405,CUS-002405,0.6669,0.3014,0.5408,0.5307,Medium,0.866
RSK002406,CUS-002406,0.557,0.4657,0.4187,0.4696,Medium,0.7085
RSK002407,CUS-002407,0.6959,0.4794,0.1368,0.373,Low,0.7888
RSK002408,CUS-002408,0.2777,0.3967,0.6748,0.5,Medium,0.7179
RSK002409,CUS-002409,0.5454,0.2671,0.798,0.616,Medium,0.8669
RSK002410,CUS-002410,0.5426,0.4298,0.1325,0.315,Low,0.8051
RSK002411,CUS-002411,0.7567,0.3601,0.2587,0.4284,Medium,0.908
RSK002412,CUS-002412,0.4613,0.1636,0.2166,0.2794,Low,0.7898
RSK002413,CUS-002413,0.4915,0.4836,0.6065,0.5474,Medium,0.9782
RSK002414,CUS-002414,0.8984,0.4541,0.2804,0.5005,Medium,0.7231
RSK002415,CUS-002415,0.1993,0.4235,0.466,0.3775,Low,0.7431
RSK002416,CUS-002416,0.5197,0.3388,0.4071,0.4272,Medium,0.9132
RSK002417,CUS-002417,0.6873,0.4048,0.5465,0.5604,Medium,0.7875
RSK002418,CUS-002418,0.7144,0.2542,0.6534,0.5919,Medium,0.7388
RSK002419,CUS-002419,0.5791,0.3006,0.7056,0.5866,Medium,0.8807
RSK002420,CUS-002420,0.3993,0.2258,0.6538,0.4919,Medium,0.9507
RSK002421,CUS-002421,0.2894,0.2056,0.3807,0.3183,Low,0.7653
RSK002422,CUS-002422,0.4241,0.3836,0.2194,0.3136,Low,0.9818
RSK002423,CUS-002423,0.2559,0.394,0.583,0.4471,Medium,0.7564
RSK002424,CUS-002424,0.3355,0.1275,0.3506,0.3015,Low,0.8158
RSK002425,CUS-002425,0.5181,0.3692,0.5875,0.523,Medium,0.7219
RSK002426,CUS-002426,0.6386,0.4241,0.2866,0.4197,Medium,0.934
RSK002427,CUS-002427,0.735,0.1243,0.5176,0.5042,Medium,0.8756
RSK002428,CUS-002428,0.4643,0.3795,0.1053,0.2678,Low,0.7197
RSK002429,CUS-002429,0.1136,0.1784,0.4506,0.2951,Low,0.8148
RSK002430,CUS-002430,0.4589,0.1158,0.6625,0.4921,Medium,0.7798
RSK002431,CUS-002431,0.3073,0.3753,0.756,0.5453,Medium,0.7891
RSK002432,CUS-002432,0.4847,0.3226,0.5449,0.4824,Medium,0.944
RSK002433,CUS-002433,0.8201,0.2146,0.7323,0.6551,Medium,0.959
RSK002434,CUS-002434,0.6529,0.3698,0.283,0.4113,Medium,0.701
RSK002435,CUS-002435,0.3593,0.4915,0.3604,0.3863,Low,0.7248
RSK002436,CUS-002436,0.1059,0.3006,0.1566,0.1702,Low,0.7468
RSK002437,CUS-002437,0.2536,0.1129,0.01,0.1037,Low,0.7956
RSK002438,CUS-002438,0.5045,0.1213,0.7805,0.5659,Medium,0.7696
RSK002439,CUS-002439,0.4477,0.3795,0.1268,0.2736,Low,0.9073
RSK002440,CUS-002440,0.2858,0.1266,0.2565,0.2393,Low,0.8103
RSK002441,CUS-002441,0.5608,0.3804,0.0315,0.2601,Low,0.8396
RSK002442,CUS-002442,0.1573,0.217,0.5611,0.3711,Low,0.7129
RSK002443,CUS-002443,0.6068,0.3627,0.2985,0.4038,Medium,0.8369
RSK002444,CUS-002444,0.3752,0.4006,0.5767,0.481,Medium,0.9785
RSK002445,CUS-002445,0.4568,0.2711,0.4282,0.4054,Medium,0.8815
RSK002446,CUS-002446,0.6197,0.2751,0.2697,0.3758,Low,0.9755
RSK002447,CUS-002447,0.4573,0.4272,0.2165,0.3309,Low,0.8278
RSK002448,CUS-002448,0.7711,0.3089,0.3453,0.4658,Medium,0.8602
RSK002449,CUS-002449,0.7594,0.1261,0.1796,0.3428,Low,0.8286
RSK002450,CUS-002450,0.8272,0.456,0.468,0.5734,Medium,0.8349
RSK002451,CUS-002451,0.4508,0.116,0.595,0.4559,Medium,0.8768
RSK002452,CUS-002452,0.252,0.2486,0.3931,0.3219,Low,0.9493
RSK002453,CUS-002453,0.1886,0.4254,0.3325,0.3079,Low,0.9157
RSK002454,CUS-002454,0.7083,0.362,0.0231,0.2964,Low,0.7674
RSK002455,CUS-002455,0.8255,0.4436,0.0349,0.3538,Low,0.7966
RSK002456,CUS-002456,0.6673,0.3352,0.3575,0.446,Medium,0.9276
RSK002457,CUS-002457,0.3553,0.1897,0.8282,0.5586,Medium,0.9324
RSK002458,CUS-002458,0.263,0.2679,0.6743,0.4696,Medium,0.7935
RSK002459,CUS-002459,0.3604,0.2748,0.2635,0.2948,Low,0.7603
RSK002460,CUS-002460,0.2063,0.1509,0.2426,0.2134,Low,0.7935
RSK002461,CUS-002461,0.3062,0.165,0.1072,0.1785,Low,0.9774
RSK002462,CUS-002462,0.266,0.4432,0.1824,0.2596,Low,0.7552
RSK002463,CUS-002463,0.1675,0.3764,0.01,0.1305,Low,0.8768
RSK002464,CUS-002464,0.4431,0.3706,0.0606,0.2374,Low,0.9372
RSK002465,CUS-002465,0.2681,0.2181,0.3436,0.2959,Low,0.9459
RSK002466,CUS-002466,0.7447,0.1128,0.453,0.4725,Medium,0.8722
RSK002467,CUS-002467,0.3155,0.2967,0.0831,0.1955,Low,0.9081
RSK002468,CUS-002468,0.1627,0.3885,0.2882,0.2706,Low,0.816
RSK002469,CUS-002469,0.5652,0.4606,0.2021,0.3627,Low,0.7062
RSK002470,CUS-002470,0.1527,0.358,0.7008,0.4678,Medium,0.9854
RSK002471,CUS-002471,0.8152,0.1465,0.1151,0.3314,Low,0.8319
RSK002472,CUS-002472,0.1002,0.4564,0.4243,0.3335,Low,0.9255
RSK002473,CUS-002473,0.4026,0.4697,0.2035,0.3165,Low,0.8789
RSK002474,CUS-002474,0.5479,0.339,0.3999,0.4321,Medium,0.8003
RSK002475,CUS-002475,0.3563,0.3236,0.54,0.4416,Medium,0.781
RSK002476,CUS-002476,0.274,0.4594,0.658,0.5031,Medium,0.788
RSK002477,CUS-002477,0.3064,0.2403,0.2748,0.2774,Low,0.9656
RSK002478,CUS-002478,0.2578,0.1193,0.5511,0.3768,Low,0.9267
RSK002479,CUS-002479,0.3178,0.1289,0.3672,0.3047,Low,0.84
RSK002480,CUS-002480,0.8433,0.2099,0.0302,0.3101,Low,0.8543
RSK002481,CUS-002481,0.2007,0.1192,0.7318,0.4499,Medium,0.9803
RSK002482,CUS-002482,0.1724,0.4717,0.2597,0.2759,Low,0.8361
RSK002483,CUS-002483,0.3386,0.4984,0.0207,0.2116,Low,0.8241
RSK002484,CUS-002484,0.5203,0.4417,0.0548,0.2718,Low,0.8757
RSK002485,CUS-002485,0.2247,0.1921,0.1656,0.1886,Low,0.843
RSK002486,CUS-002486,0.5519,0.4219,0.13,0.3149,Low,0.7692
RSK002487,CUS-002487,0.1312,0.1236,0.1842,0.1562,Low,0.7264
RSK002488,CUS-002488,0.6806,0.2765,0.1165,0.3177,Low,0.9425
RSK002489,CUS-002489,0.3008,0.1917,0.2451,0.2511,Low,0.7091
RSK002490,CUS-002490,0.8716,0.4323,0.4635,0.5797,Medium,0.7484
RSK002491,CUS-002491,0.1622,0.4348,0.0969,0.1841,Low,0.983
RSK002492,CUS-002492,0.7874,0.1475,0.7923,0.6619,Medium,0.7821
RSK002493,CUS-002493,0.3832,0.164,0.2746,0.2851,Low,0.888
RSK002494,CUS-002494,0.216,0.4378,0.2391,0.2719,Low,0.8871
RSK002495,CUS-002495,0.7446,0.4835,0.1913,0.4157,Medium,0.9767
RSK002496,CUS-002496,0.6595,0.3485,0.3502,0.4426,Medium,0.7056
RSK002497,CUS-002497,0.3402,0.1274,0.4353,0.3452,Low,0.9668
RSK002498,CUS-002498,0.5678,0.1786,0.3768,0.3945,Low,0.9333
RSK002499,CUS-002499,0.796,0.3237,0.5182,0.5626,Medium,0.9573
RSK002500,CUS-002500,0.505,0.1246,0.4385,0.3957,Low,0.7447
RSK002501,CUS-002501,0.687,0.1773,0.6877,0.5854,Medium,0.7803
RSK002502,CUS-002502,0.538,0.3088,0.01,0.2282,Low,0.9105
RSK002503,CUS-002503,0.4285,0.2143,0.6778,0.5103,Medium,0.7977
RSK002504,CUS-002504,0.8424,0.17,0.4608,0.5171,Medium,0.956
RSK002505,CUS-002505,0.2588,0.3017,0.4299,0.3529,Low,0.8941
RSK002506,CUS-002506,0.4869,0.1134,0.1119,0.2247,Low,0.9655
RSK002507,CUS-002507,0.1232,0.3933,0.0538,0.1425,Low,0.9296
RSK002508,CUS-002508,0.7809,0.177,0.3466,0.443,Medium,0.8275
RSK002509,CUS-002509,0.8527,0.3312,0.7132,0.6786,Medium,0.9336
RSK002510,CUS-002510,0.5312,0.1018,0.4778,0.4186,Medium,0.9609
RSK002511,CUS-002511,0.4813,0.1189,0.6713,0.5038,Medium,0.7154
RSK002512,CUS-002512,0.4277,0.3256,0.15,0.2684,Low,0.8083
RSK002513,CUS-002513,0.1478,0.3542,0.2569,0.2436,Low,0.7921
RSK002514,CUS-002514,0.3669,0.1379,0.3302,0.3028,Low,0.8622
RSK002515,CUS-002515,0.8857,0.2267,0.641,0.6316,Medium,0.8695
RSK002516,CUS-002516,0.3267,0.2468,0.6553,0.475,Medium,0.8764
RSK002517,CUS-002517,0.3111,0.4318,0.1673,0.2633,Low,0.9033
RSK002518,CUS-002518,0.5265,0.4,0.0952,0.2855,Low,0.8654
RSK002519,CUS-002519,0.1018,0.1193,0.2443,0.1765,Low,0.9803
RSK002520,CUS-002520,0.3477,0.3353,0.6079,0.4753,Medium,0.9751
RSK002521,CUS-002521,0.8512,0.1144,0.1954,0.3759,Low,0.9839
RSK002522,CUS-002522,0.1362,0.4726,0.8039,0.5373,Medium,0.7315
RSK002523,CUS-002523,0.1766,0.4192,0.8375,0.5556,Medium,0.9166
RSK002524,CUS-002524,0.8325,0.4484,0.2965,0.4877,Medium,0.8236
RSK002525,CUS-002525,0.2763,0.3165,0.5691,0.4307,Medium,0.9519
RSK002526,CUS-002526,0.4586,0.229,0.2402,0.3035,Low,0.9196
RSK002527,CUS-002527,0.1257,0.3359,0.2044,0.2071,Low,0.8006
RSK002528,CUS-002528,0.3148,0.4651,0.6819,0.5284,Medium,0.7864
RSK002529,CUS-002529,0.4217,0.4315,0.4214,0.4235,Medium,0.9099
RSK002530,CUS-002530,0.184,0.2721,0.0285,0.1239,Low,0.9279
RSK002531,CUS-002531,0.1221,0.2252,0.392,0.2777,Low,0.9069
RSK002532,CUS-002532,0.1162,0.3887,0.6501,0.4376,Medium,0.9554
RSK002533,CUS-002533,0.2741,0.2754,0.2504,0.2625,Low,0.8704
RSK002534,CUS-002534,0.8509,0.1429,0.4862,0.527,Medium,0.7401
RSK002535,CUS-002535,0.5689,0.4093,0.4978,0.5014,Medium,0.7394
RSK002536,CUS-002536,0.8847,0.3605,0.1799,0.4275,Medium,0.9077
RSK002537,CUS-002537,0.1634,0.3626,0.6976,0.4703,Medium,0.7161
RSK002538,CUS-002538,0.142,0.2285,0.6294,0.403,Medium,0.9884
RSK002539,CUS-002539,0.2059,0.2818,0.5736,0.4049,Medium,0.7537
RSK002540,CUS-002540,0.4456,0.1302,0.5663,0.4429,Medium,0.9638
RSK002541,CUS-002541,0.8836,0.3711,0.5094,0.594,Medium,0.9614
RSK002542,CUS-002542,0.317,0.289,0.7577,0.5318,Medium,0.8875
RSK002543,CUS-002543,0.1737,0.2458,0.1594,0.181,Low,0.93
RSK002544,CUS-002544,0.4599,0.4317,0.1427,0.2957,Low,0.9139
RSK002545,CUS-002545,0.541,0.4651,0.5176,0.5141,Medium,0.8703
RSK002546,CUS-002546,0.1399,0.4602,0.552,0.41,Medium,0.9019
RSK002547,CUS-002547,0.6559,0.4238,0.01,0.2865,Low,0.9036
RSK002548,CUS-002548,0.5534,0.2787,0.5869,0.5152,Medium,0.9132
RSK002549,CUS-002549,0.4455,0.116,0.569,0.4413,Medium,0.705
RSK002550,CUS-002550,0.5342,0.416,0.2907,0.3888,Low,0.809
RSK002551,CUS-002551,0.1104,0.4583,0.0927,0.1711,Low,0.8974
RSK002552,CUS-002552,0.7735,0.4804,0.4149,0.5356,Medium,0.8625
RSK002553,CUS-002553,0.161,0.3541,0.6829,0.4606,Medium,0.9345
RSK002554,CUS-002554,0.6538,0.2357,0.4316,0.4591,Medium,0.7722
RSK002555,CUS-002555,0.6963,0.2965,0.3426,0.4395,Medium,0.8741
RSK002556,CUS-002556,0.5834,0.4863,0.7488,0.6467,Medium,0.9841
RSK002557,CUS-002557,0.8655,0.3559,0.614,0.6378,Medium,0.7967
RSK002558,CUS-002558,0.6039,0.1098,0.1516,0.2789,Low,0.8823
RSK002559,CUS-002559,0.7225,0.2174,0.01,0.2652,Low,0.9053
RSK002560,CUS-002560,0.5777,0.4437,0.177,0.3505,Low,0.8109
RSK002561,CUS-002561,0.306,0.4675,0.2667,0.3186,Low,0.8634
RSK002562,CUS-002562,0.4788,0.392,0.4486,0.4463,Medium,0.8809
RSK002563,CUS-002563,0.4528,0.3081,0.2767,0.3358,Low,0.9861
RSK002564,CUS-002564,0.6481,0.207,0.01,0.2408,Low,0.7443
RSK002565,CUS-002565,0.2416,0.4035,0.1725,0.2394,Low,0.9654
RSK002566,CUS-002566,0.4837,0.1567,0.0726,0.2127,Low,0.9299
RSK002567,CUS-002567,0.7014,0.1018,0.1216,0.2916,Low,0.8182
RSK002568,CUS-002568,0.1525,0.3125,0.5503,0.3834,Low,0.7395
RSK002569,CUS-002569,0.6136,0.4178,0.3286,0.4319,Medium,0.8762
RSK002570,CUS-002570,0.8655,0.2153,0.6247,0.6151,Medium,0.7182
RSK002571,CUS-002571,0.4762,0.3241,0.4654,0.4404,Medium,0.9878
RSK002572,CUS-002572,0.6702,0.4297,0.1022,0.3381,Low,0.9597
RSK002573,CUS-002573,0.7715,0.411,0.4235,0.5254,Medium,0.8555
RSK002574,CUS-002574,0.1525,0.1401,0.736,0.4418,Medium,0.796
RSK002575,CUS-002575,0.3713,0.1135,0.4955,0.3818,Low,0.7457
RSK002576,CUS-002576,0.2697,0.2174,0.6941,0.4714,Medium,0.8368
RSK002577,CUS-002577,0.7665,0.3192,0.5607,0.5741,Medium,0.9485
RSK002578,CUS-002578,0.3038,0.3467,0.4702,0.3956,Low,0.8459
RSK002579,CUS-002579,0.7839,0.3256,0.0487,0.3246,Low,0.9055
